TIME,GEO,ANIMALS,UNIT,Value,Flag and Footnotes,,,,
2012,European Union - 27 countries (from 2020),Live bovine animals,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Bovine animals for slaughter,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Bovine animals for slaughter,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Dairy cows,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Dairy cows,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Other bovine animals,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Other bovine animals,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),"Live swine, domestic species",Number,:,,,,,
2012,European Union - 27 countries (from 2020),"Live swine, domestic species",Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),"Breeding sows, live weight 50 kg or over",Number,:,,,,,
2012,European Union - 27 countries (from 2020),"Breeding sows, live weight 50 kg or over",Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Other pigs,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Other pigs,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),"Fattening pigs, live weight 50 kg or over",Number,:,,,,,
2012,European Union - 27 countries (from 2020),"Fattening pigs, live weight 50 kg or over",Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Live sheep,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Live sheep,Head (animal),"3,291,324",,,,,
2012,European Union - 27 countries (from 2020),"Ewes and ewe-lambs, breeding females",Number,:,,,,,
2012,European Union - 27 countries (from 2020),"Ewes and ewe-lambs, breeding females",Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Ewes and ewe-lambs put to the ram,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Ewes and ewe-lambs put to the ram,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Other sheep,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Other sheep,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Live goats,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Live goats,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),"Goats, breeding females",Number,:,,,,,
2012,European Union - 27 countries (from 2020),"Goats, breeding females",Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Other goats,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Other goats,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Live poultry,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Live poultry,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Live poultry excluding laying hens and broilers,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Live poultry excluding laying hens and broilers,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Laying hens,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Laying hens,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Laying hens (producing eggs for consumption),Number,:,,,,,
2012,European Union - 27 countries (from 2020),Laying hens (producing eggs for consumption),Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Broilers,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Broilers,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Rabbits,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Rabbits,Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Bees (hives),Number,:,,,,,
2012,European Union - 27 countries (from 2020),Bees (hives),Head (animal),:,,,,,
2012,European Union - 27 countries (from 2020),Other live animals,Number,:,,,,,
2012,European Union - 27 countries (from 2020),Other live animals,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Live horses,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Live horses,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Live bovine animals,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Live bovine animals,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Bovine animals for slaughter,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Bovine animals for slaughter,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Dairy cows,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Dairy cows,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Other bovine animals,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Other bovine animals,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),"Live swine, domestic species",Number,:,,,,,
2012,European Union - 28 countries (2013-2020),"Live swine, domestic species",Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),"Breeding sows, live weight 50 kg or over",Number,:,,,,,
2012,European Union - 28 countries (2013-2020),"Breeding sows, live weight 50 kg or over",Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Other pigs,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Other pigs,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),"Fattening pigs, live weight 50 kg or over",Number,:,,,,,
2012,European Union - 28 countries (2013-2020),"Fattening pigs, live weight 50 kg or over",Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Live sheep,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Live sheep,Head (animal),"4,443,421",,,,,
2012,European Union - 28 countries (2013-2020),"Ewes and ewe-lambs, breeding females",Number,:,,,,,
2012,European Union - 28 countries (2013-2020),"Ewes and ewe-lambs, breeding females",Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Ewes and ewe-lambs put to the ram,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Ewes and ewe-lambs put to the ram,Head (animal),:,,,,,
2012,European Union - 28 countries (2013-2020),Other sheep,Number,:,,,,,
2012,European Union - 28 countries (2013-2020),Other sheep,Head (animal),:,,,,,
